,fluxes,reduced_costs
biomass_dilution,0.16920618008393723,-0.43167439009501074
protein_biomass_to_biomass,0.06172773033377856,3.2591203306502154e-35
mRNA_biomass_to_biomass,0.00022204682138735103,0.0
tRNA_biomass_to_biomass,0.0013509133461833533,5.882541584088554e-35
rRNA_biomass_to_biomass,0.008429953211099276,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.009982614061410539,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.052741392946811634,0.0
prosthetic_group_biomass_to_biomass,2.9681050516082344e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_atp_c_,0.0,-0.010694630932193418
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.005348520508926896
EX_26dap_M(e),-1.0,-0.0026700056941599353
EX_3mop(e),-1.0,-0.005349581416409856
EX_4abz(e),0.0,0.0
EX_4hbz(e),-2.5197794201016216e-54,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),5.363594934857744,0.0
EX_acald(e),1.1625714979585537,0.0
EX_acgam(e),-0.02200343629317113,0.0
EX_adocbl(e),-0.0013434463080124362,0.0
EX_akg(e),0.0,-0.013360051075372031
EX_ala_D(e),-1.0,-0.005335303473639203
EX_ala_L(e),-1.0,-0.005334659710437987
EX_alaasp(e),0.0,-0.007996437616845964
EX_alagln(e),0.0,-0.00798786085551288
EX_alaglu(e),0.0,-0.007993078792237995
EX_alagly(e),0.0,-0.005325144733393341
EX_alahis(e),2.4006574917229507e-23,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),2.3857379431360245e-23,0.0
EX_amp(e),-0.021707598729102037,0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.225,-0.008005597582223916
EX_asp_L(e),-0.225,-0.008009433790839158
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.039933078037716285
EX_cgly(e),-0.0013434463080124362,0.0
EX_cl(e),0.0,0.0
EX_co2(e),3.848215231847064,0.0
EX_cobalt2(e),-0.0013434526102544919,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.007871527820884287,0.0
EX_dcyt(e),-1.0,-0.029387913669037858
EX_drib(e),-0.17878295,-0.005330662694225976
EX_ethso3(e),0.0,0.0
EX_fe2(e),-3.1217181504393538e-09,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-0.004030338924037309,0.0
EX_for(e),5.121320178247192,0.0
EX_fru(e),-0.14898579,-0.03205689075703586
EX_fum(e),-1.0,-0.008012702656235313
EX_galt(e),0.0,0.0
EX_gam(e),0.0,0.0
EX_gcald(e),0.0,-0.09888673704662694
EX_glc_D(e),0.0,-0.0320581316318976
EX_gln_L(e),-0.18,-0.008001085396903014
EX_glu_L(e),-0.18,-0.008004697642791835
EX_gly(e),-0.45,-0.0053379428647040116
EX_glyasn(e),0.0,-0.00799631097257621
EX_glyasp(e),0.0,-0.008000147181191452
EX_glyc(e),-1.79965486,-0.01067633851734608
EX_glyc3p(e),-1.0,-0.021370695806599505
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.007991570419858368
EX_glyglu(e),0.0,-0.00799552569985775
EX_glyleu(e),0.0,-0.008012053242088094
EX_glymet(e),0.0,-0.0026635518022162254
EX_glyphe(e),0.0,0.0
EX_glypro(e),2.4094141490677878e-23,0.0
EX_glytyr(e),0.0,-0.0053358125813054045
EX_gua(e),-0.01606864172933991,0.0
EX_h(e),3.979459843231746,0.0
EX_h2(e),0.2395099192585339,0.0
EX_h2o(e),-3.4835797186956197,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.01849123704187811,0.0
EX_hxan(e),0.0,0.0
EX_ile_L(e),0.9118026426202092,0.0
EX_ind3ac(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-1.8662112461651485e-07,0.0
EX_lac_D(e),0.0,-0.005341050722292221
EX_lac_L(e),0.0,-0.005340706980754054
