,fluxes,reduced_costs
biomass_dilution,0.003230593370096158,-0.6416930955630975
protein_biomass_to_biomass,0.0013177996971388138,1.44129527612872e-34
mRNA_biomass_to_biomass,3.2595737122898687e-06,0.0
tRNA_biomass_to_biomass,2.0086131210873435e-05,0.0
rRNA_biomass_to_biomass,0.0001420029868505263,-8.375385002370504e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00019161977277927698,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0008141295434814207,0.0
prosthetic_group_biomass_to_biomass,4.333352823741903e-07,-7.349554839403563e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.05370807180518955
DM_atp_c_,0.0,-0.008227685638076637
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0023995715643986815
EX_26dap_M(e),0.0,0.0
EX_ac(e),0.9595758862910337,0.0
EX_akg(e),0.0,-0.0003430041561755608
EX_ala_L(e),-0.0006314713788777807,0.0
EX_alaasp(e),0.0,-0.0034279048115497075
EX_alagln(e),8.523531203597266e-23,0.0
EX_alaglu(e),8.523531203597266e-23,3.370377402677663e-36
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.002056448796677249
EX_arg_L(e),-0.0009966264400998754,0.0
EX_asn_L(e),-0.0010885090803277177,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.007541748829173214
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.03257772742688646
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.7168510302689228,0.0
EX_cobalt2(e),-1.0003547747904446e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.2223632702840171,0.0
EX_fe2(e),-1.4541676546171482e-12,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-3.0010597111508258e-05,0.0
EX_fum(e),-1.0,-0.007541856432186701
EX_gcald(e),0.0,-0.06844923309638373
EX_gln_L(e),0.17764788896058473,0.0
EX_glu_L(e),-0.18,-5.3765794964445346e-08
EX_gly(e),0.22214503738330332,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.003427877199640561
EX_glycys(e),0.0,0.0
EX_glygln(e),8.523531203597266e-23,2.407412430484045e-36
EX_glyglu(e),8.523531203597266e-23,0.0
EX_glyleu(e),0.0,-0.0020568828667634756
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-1.0003532370502753e-05,0.0
EX_gua(e),-0.0001899658500212104,0.0
EX_h(e),-0.8029175919747178,0.0
EX_h2o(e),-0.23305192394092825,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.000167615174258109,0.0
EX_k(e),-7.412346330173679e-10,0.0
EX_lac_L(e),0.0,-0.005485103817646041
EX_leu_L(e),-0.002092467527746135,0.0
EX_lys_L(e),-0.002080495908894525,0.0
EX_mal_L(e),0.0,-0.00754186451279837
EX_met_L(e),0.2216772603531154,0.0
EX_metala(e),0.0,0.0
EX_mg2(e),-1.693966509973207e-05,0.0
EX_mn2(e),-4.790816158415565e-09,0.0
EX_mqn7(e),-2.0007064741005505e-05,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.0,0.0
EX_nh4(e),0.26698894507692883,0.0
EX_o2(e),0.0,-0.03153919871423548
