,fluxes,reduced_costs
biomass_dilution,0.08444765709674626,-0.48137866278209174
protein_biomass_to_biomass,0.03097640249895383,1.7363528601315596e-34
mRNA_biomass_to_biomass,9.286121895549969e-05,8.815839209305235e-35
tRNA_biomass_to_biomass,0.0005674124726362882,5.148766475149939e-35
rRNA_biomass_to_biomass,0.004043706224159464,-8.478859161257178e-35
ncRNA_biomass_to_biomass,0.0,-5.632872063352788e-35
tmRNA_biomass_to_biomass,0.0,-5.632872063352788e-35
DNA_biomass_to_biomass,0.005007145942992879,-5.632872063352788e-35
lipid_biomass_to_biomass,0.0,-5.632872063352788e-35
constituent_biomass_to_biomass,0.026322248183651944,-5.632872063352788e-35
prosthetic_group_biomass_to_biomass,1.3654149734826985e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,-5.632872063352788e-35
DM_5MTR,0.0,0.0
DM_atp_c_,0.0,-0.01614846735174299
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.005380098365678425
EX_12dgr180(e),-0.0006100836539297337,0.0
EX_15dap(e),0.0,0.0
EX_26dap_M(e),0.0,0.0
EX_2dmmq8(e),-0.0006704890630510362,0.0
EX_2obut(e),0.0007152397197105853,0.0
EX_3mop(e),-0.007021451117903226,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),5.279362530656768,0.0
EX_acald(e),0.17878295,0.0
EX_ade(e),0.989158480566229,0.0
EX_ala_L(e),-0.028858954035635532,0.0
EX_alaasp(e),0.0,-0.010756392883872555
EX_alagln(e),3.086498247058327e-23,0.0
EX_alaglu(e),3.086498247058327e-23,0.0
EX_alagly(e),3.2284631748827046e-23,6.284913543299235e-35
EX_alahis(e),3.1472627426349765e-23,0.0
EX_alaleu(e),3.09415796783813e-23,0.0
EX_alathr(e),3.0902529304788465e-23,0.0
EX_arg_L(e),-0.15,-0.026908684021079515
EX_asn_L(e),-0.225,-0.01613927391144497
EX_asp_L(e),-0.225,-0.016140417975973584
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0437855294757597
EX_cgly(e),-1.0,-0.010758031600276528
EX_cl(e),0.0,0.0
EX_co2(e),6.931604894585727,0.0
EX_cobalt2(e),-0.0006709425023633202,0.0
EX_cro4(e),0.0,0.0
EX_csn(e),1.07204213617488e-22,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.016142884280989735
EX_cytd(e),0.0,-0.06098947447830016
EX_dad_2(e),-1.0,-0.005379914581020663
EX_dcyt(e),-0.002922109943715689,0.0
EX_dgsn(e),0.00580764047777806,0.0
