,fluxes,reduced_costs
12DGR180ti,0.002343935269527876,0.0
23DHMPO,0.0,-0.0
26DAPLLAT,-0.11095636719031333,-0.0
2AHBUTI,0.0,0.0
2MBCOATA,0.004687870539055754,0.0
2OBUTt2r,1.0,0.0
3HAD100,0.16212345558180144,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.004687870539055754,0.0
3HAD11M12,0.004687870539055752,0.0
3HAD120,0.16212345558180144,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.004687870539055752,0.0
3HAD13M14,0.004687870539055752,0.0
3HAD140,0.16212345558180144,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.004687870539055752,0.0
3HAD15M16,0.004687870539055752,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.16212345558180144,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.004687870539055754,0.0
3HAD5M6,0.004687870539055752,0.0
3HAD60,0.16212345558180144,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.004687870539055754,0.0
3HAD7M8,0.004687870539055752,0.0
3HAD80,0.16212345558180144,0.0
3HAD8M10,0.004687870539055754,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.004687870539055752,0.0
3MOBS,0.0,-0.0
3OAR100,0.16212345558180144,0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.004687870539055754,0.0
3OAR11M12,0.004687870539055752,6.661338147750939e-16
3OAR120,0.16212345558180144,0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.004687870539055752,0.0
3OAR13M14,0.004687870539055752,0.0
3OAR140,0.16212345558180144,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.004687870539055752,0.0
3OAR15M16,0.004687870539055752,0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.16212345558180144,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.004687870539055754,6.661338147750939e-16
3OAR5M6,0.004687870539055752,0.0
3OAR60,0.16212345558180144,0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.004687870539055754,0.0
3OAR7M8,0.004687870539055752,0.0
3OAR80,0.16212345558180144,2.220446049250313e-16
3OAR8M10,0.004687870539055754,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.004687870539055752,0.0
3OAS100,0.16212345558180144,-8.326672684688674e-17
3OAS10M11,0.0,0.0
3OAS10M12,0.004687870539055752,0.0
3OAS11M12,0.004687870539055752,-4.718447854656915e-16
3OAS120,0.16212345558180144,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.004687870539055752,0.0
3OAS13M14,0.004687870539055752,2.220446049250313e-16
3OAS140,0.16212345558180144,0.0
3OAS160,0.0,-0.020808629674993695
3OAS180,0.0,-0.020808629674993695
3OAS2M3,0.0,0.0
3OAS3M4,0.004687870539055752,0.0
3OAS4M3O6,0.004687870539055754,-8.326672684688674e-17
3OAS4M5,0.0,0.0
3OAS4M6,0.004687870539055754,0.0
