,fluxes,reduced_costs
15DAPt,0.0,0.0
23DHMPO,0.0,0.04244643419179128
2AHBUTI,0.0,0.0
2MBCOATA,0.00040677266814677414,0.0
2OMMBOX,0.0,-1.5280716309044866
2OMPHH,0.0,0.0
3CARLPDH,0.0,0.16978573676716513
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.00040677266814677414,0.0
3HAD11M12,0.00040677266814677414,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.00040677266814677414,0.0
3HAD13M14,0.00040677266814677414,0.0
3HAD140,0.0005262057917735036,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.00040677266814677414,0.0
3HAD15M16,0.00040677266814677414,0.0
3HAD160,0.0004067726681467783,0.0
3HAD180,0.0004067726681467783,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.00040677266814677414,0.0
3HAD5M6,0.00040677266814677414,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.00040677266814677414,0.0
3HAD7M8,0.00040677266814677414,0.0
3HAD80,0.0,0.0
3HAD8M10,0.00040677266814677414,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.00040677266814677414,0.0
3MOBS,0.0,-0.04244643419179128
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.00040677266814677414,0.0
3OAR11M12,0.00040677266814677414,0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.00040677266814677414,0.0
3OAR13M14,0.00040677266814677414,0.0
3OAR140,0.0010039382862804048,0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.00040677266814677414,0.0
3OAR15M16,0.00040677266814677414,0.0
3OAR160,0.0004067726681467783,0.0
3OAR180,0.0004067726681467783,0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.00040677266814677414,0.0
3OAR5M6,0.00040677266814677414,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.00040677266814677414,0.0
3OAR7M8,0.00040677266814677414,0.0
3OAR80,0.0,-0.0
3OAR8M10,0.00040677266814677414,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.00040677266814677414,0.0
3OAS100,0.0,-0.08489286838358256
3OAS10M11,0.0,0.0
3OAS10M12,0.00040677266814677414,0.0
3OAS11M12,0.00040677266814677414,0.0
3OAS120,0.0,-0.5518036444932867
3OAS12M13,0.0,0.0
3OAS12M14,0.00040677266814677414,0.0
3OAS13M14,0.00040677266814677414,0.0
3OAS140,0.0010039382862804048,0.0
3OAS160,0.0004067726681467783,0.0
3OAS180,0.0004067726681467783,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.00040677266814677414,0.0
3OAS4M3O6,0.00040677266814677414,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.00040677266814677414,0.0
3OAS5M6,0.00040677266814677414,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.00040677266814677414,0.0
3OAS7M8,0.00040677266814677414,0.0
3OAS80,0.0,0.0
3OAS8M10,0.00040677266814677414,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.00040677266814677414,0.0
4HBZt2,1.4786480640924188e-05,0.0
4HTHRS,0.0,0.02122321709589564
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.04244643419179128
5DGLCNR,0.0,-0.04244643419179128
5DOAN,0.0,0.0
5MTHCYST,0.0,-0.0
6PHBG,0.0,0.06366965128768692
6PHBG2,0.0,0.04244643419179128
A5PISO,0.0003582993708801759,0.0
AACOAT,0.0,-0.16978573676716513
AACPS7,0.0011233714099071301,0.0
AB6PGH,0.0,0.06366965128768692
AB6PGH2,0.0,0.04244643419179128
ACACCTr,0.0,0.16978573676716513
ACACT1r,0.0,-0.16978573676716513
