,fluxes,reduced_costs
biomass_dilution,0.003230593370096158,-0.6416930955630975
protein_biomass_to_biomass,0.0013177996971388136,4.804317587095733e-35
mRNA_biomass_to_biomass,3.2595737122898687e-06,0.0
tRNA_biomass_to_biomass,2.0086131210873435e-05,0.0
rRNA_biomass_to_biomass,0.0001420029868505263,-8.375385002370504e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.00019161977277927698,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.0008141295434814209,0.0
prosthetic_group_biomass_to_biomass,4.333352823741903e-07,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,0.0
DM_atp_c_,0.0,-0.008227685638076637
DM_dhptd(c),0.0,0.0
DM_hcys_L[c],0.0,-0.0023995715643986815
EX_26dap_M(e),0.0,0.0
EX_ac(e),0.9595758862910337,0.0
EX_akg(e),0.0,-0.00034289789876612017
EX_ala_L(e),-0.0006314713788777818,0.0
EX_alaasp(e),0.0,-0.0034279048115497075
EX_alagln(e),8.523531203597266e-23,0.0
EX_alaglu(e),8.523531203597266e-23,-4.81482486096809e-37
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.002056448796677249
EX_arg_L(e),-0.0009966264400998754,0.0
EX_asn_L(e),-0.0010885090803277172,0.0
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.007541748829173214
EX_biomass(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.03257772742688646
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.7168510302689228,0.0
EX_cobalt2(e),-1.0003547747904446e-05,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.2223632702840171,0.0
EX_fe2(e),-1.454167654617148e-12,0.0
EX_fe3(e),0.0,0.0
EX_fol(e),-3.0010597111508258e-05,0.0
EX_fum(e),-1.0,-0.007541856432186701
EX_gcald(e),0.0,0.0
EX_gln_L(e),0.17764788896058473,0.0
EX_glu_L(e),-0.18,-5.3765794964445346e-08
EX_gly(e),0.22214503738330332,0.0
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,-0.003427877199640561
EX_glycys(e),0.0,0.0
EX_glygln(e),8.523531203597266e-23,9.62964972193618e-37
EX_glyglu(e),8.523531203597266e-23,0.0
EX_glyleu(e),0.0,-0.0020568828667634756
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-1.0003532370502753e-05,0.0
EX_gua(e),-0.0001899658500212104,0.0
