,fluxes,reduced_costs
biomass_dilution,0.09816853287275407,-0.3234934177412862
protein_biomass_to_biomass,0.04716383443927447,0.0
mRNA_biomass_to_biomass,0.00015421661321881683,-4.4568426229045856e-35
tRNA_biomass_to_biomass,0.0009088800436561134,0.0
rRNA_biomass_to_biomass,0.0066596707532722114,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.005819032028606324,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.010912169422454448,0.0
prosthetic_group_biomass_to_biomass,2.10727001797893e-05,-3.3582339427537533e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_4HBA,2.5454057496881596e-08,0.0
DM_5DRIB,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.007579926907623582
DM_btn,0.0,0.0
DM_dad_5,0.0,-0.011372333007146625
DM_pheme(c),0.0,0.0
EX_4hbz(e),0.0,0.0
EX_7dhcdchol(e),0.0,-9.455085769404432e-09
EX_7ocholate(e),0.0,0.0
EX_C02528(e),0.0,0.0
EX_ac(e),4.189389159060026,0.0
EX_acgam(e),-1.0,-0.03030635035831053
EX_adn(e),7.855520230610958e-05,0.0
EX_adocbl(e),-4.121714536894939e-09,0.0
EX_arab_L(e),0.0,0.0
EX_arabttr(e),0.0,0.0
EX_arg_L(e),-0.031960104387120006,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.009470276594868331
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.016169672780869292
EX_cgly(e),0.0,0.0
EX_cholate(e),0.0,-7.739571015353496e-07
EX_chtbs(e),0.0,-0.05682251475181693
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),1.740595462312736,0.0
EX_cobalt2(e),-0.0007669221785337584,0.0
EX_cro4(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.029532521014872234,0.0
EX_cytd(e),0.0,-0.01705731200942058
EX_dad_2(e),-0.014079171289878113,0.0
EX_dcyt(e),0.015447235428467123,0.0
EX_ddca(e),0.0,0.0
EX_dgsn(e),-0.010817375337518743,0.0
EX_din(e),0.0,-1.4637681695560843e-36
EX_duri(e),0.0,0.0
EX_fe2(e),-1.904135009034447e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),1.6890522038671232,0.0
EX_gal(e),0.0,0.0
EX_galur(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.0037871969477299753
EX_glcur(e),0.0,-0.022733598833835397
EX_gly(e),-0.45,-0.0037864710356852464
EX_glyb(e),0.0,0.0
EX_gsn(e),0.0,-9.440198253948822e-07
EX_h(e),1.3230004647240323,0.0
EX_h2(e),0.0,0.0
EX_h2o(e),-1.6333373871442443,0.0
EX_h2s(e),-0.061092922847174894,0.0
EX_hdca(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_ins(e),0.0,0.0
EX_isobut(e),0.0,-1.5382533641029825e-06
EX_isocapr(e),0.0,0.0
EX_isoval(e),0.0,0.0
EX_k(e),-2.2088634180364882e-07,0.0
EX_lac_D(e),0.0,-0.007577925695597943
EX_lac_L(e),0.0,0.0
EX_leu_L(e),-0.06763248502026403,0.0
EX_lys_L(e),-0.0431282187908008,0.0
EX_mantr(e),0.0,-0.03030789664087129
