,fluxes,reduced_costs
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2HMCOXT,0.0,-0.0
2INSD,0.0,0.0
2MBCOATA,0.026855990081355113,2.7755575615628914e-17
3HAD100,0.026855990081355134,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.026855990081355134,0.0
3HAD11M12,0.026855990081355134,0.0
3HAD120,0.026855990081355134,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.026855990081355134,0.0
3HAD13M14,0.026855990081355134,0.0
3HAD140,0.026855990081355134,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.026855990081355134,0.0
3HAD15M16,0.026855990081355134,0.0
3HAD160,0.026855990081355134,0.0
3HAD180,0.026855990081355134,0.0
3HAD40,0.026855990081355134,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.026855990081355113,0.0
3HAD5M6,0.026855990081355134,0.0
3HAD60,0.026855990081355134,-1.249000902703301e-16
3HAD6M7,0.0,0.0
3HAD6M8,0.026855990081355113,0.0
3HAD7M8,0.026855990081355134,-1.3877787807814457e-16
3HAD80,0.026855990081355134,0.0
3HAD8M10,0.026855990081355134,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.026855990081355134,0.0
3OAR100,0.026855990081355134,0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.026855990081355134,0.0
3OAR11M12,0.026855990081355134,0.0
3OAR120,0.026855990081355134,0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.026855990081355134,0.0
3OAR13M14,0.026855990081355134,0.0
3OAR140,0.026855990081355134,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.026855990081355134,0.0
3OAR15M16,0.026855990081355134,0.0
3OAR160,0.026855990081355134,0.0
3OAR180,0.026855990081355134,0.0
3OAR40,0.026855990081355134,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.026855990081355113,0.0
3OAR5M6,0.026855990081355134,0.0
3OAR60,0.026855990081355134,0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.026855990081355113,0.0
3OAR7M8,0.026855990081355134,5.551115123125783e-17
3OAR80,0.026855990081355134,1.6653345369377348e-16
3OAR8M10,0.026855990081355134,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.026855990081355134,0.0
3OAS100,0.026855990081355134,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.026855990081355134,0.0
3OAS11M12,0.026855990081355134,0.0
3OAS120,0.026855990081355134,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.026855990081355134,0.0
3OAS13M14,0.026855990081355134,0.0
3OAS140,0.026855990081355134,0.0
3OAS160,0.026855990081355134,-5.551115123125783e-17
3OAS180,0.026855990081355134,-2.7755575615628914e-17
3OAS2M3,0.0,0.0
3OAS3M4,0.026855990081355134,-1.3877787807814457e-17
3OAS4M3O6,0.026855990081355113,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.026855990081355113,-1.3877787807814457e-16
3OAS5M6,0.026855990081355134,0.0
