,fluxes,reduced_costs
1P4H2CBXLAH,0.0,-0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.00024142701722912766,0.0
2DHPL,0.0,-0.0
2HBO,0.0,-0.0
2HMCOXT,0.0,-0.0
2MBCOATA,0.01111433154516702,0.0
2OBUTt2r,0.0,-0.0
34DHOXPEGOX,0.0,-0.0
3HAD10M12,0.01111433154516702,0.0
3HAD11M12,0.01111433154516702,0.0
3HAD12M14,0.01111433154516702,0.0
3HAD13M14,0.01111433154516702,0.0
3HAD14M16,0.01111433154516702,0.0
3HAD15M16,0.01111433154516702,0.0
3HAD4M6,0.01111433154516702,0.0
3HAD5M6,0.011114331545167014,0.0
3HAD6M8,0.01111433154516702,-2.7755575615628914e-17
3HAD7M8,0.011114331545167014,0.0
3HAD8M10,0.01111433154516702,0.0
3HAD9M10,0.01111433154516702,0.0
3OAR100,0.0,-0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.01111433154516702,0.0
3OAR11M12,0.01111433154516702,0.0
3OAR120,0.0,-0.0
3OAR12M13,0.0,-0.0
3OAR12M14,0.01111433154516702,0.0
3OAR13M14,0.01111433154516702,0.0
3OAR140,0.0,-0.0
3OAR14M15,0.0,-0.0
3OAR14M16,0.01111433154516702,0.0
3OAR15M16,0.01111433154516702,0.0
3OAR160,0.0,-0.0
3OAR180,0.0,-0.0
3OAR40,0.0,-0.0
3OAR4M5,0.0,-0.0
3OAR4M6,0.01111433154516702,0.0
3OAR5M6,0.011114331545167014,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.01111433154516702,4.163336342344337e-17
3OAR7M8,0.011114331545167014,0.0
3OAR80,0.0,-0.0
3OAR8M10,0.01111433154516702,0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.01111433154516702,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.01111433154516702,0.0
3OAS11M12,0.01111433154516702,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.01111433154516702,1.3877787807814457e-17
3OAS13M14,0.01111433154516702,1.3877787807814457e-17
3OAS140,0.0,-0.08690575375935353
3OAS160,0.0,-2.7755575615628914e-17
3OAS180,0.0,-2.7755575615628914e-17
3OAS2M3,0.0,0.0
3OAS3M4,0.011114331545167014,-1.3877787807814457e-17
3OAS4M3O6,0.01111433154516702,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.01111433154516702,0.0
3OAS5M6,0.011114331545167014,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.01111433154516702,0.0
3OAS7M8,0.01111433154516702,0.0
3OAS80,0.0,0.0
3OAS8M10,0.01111433154516702,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.01111433154516702,8.326672684688674e-17
4ABZt2,0.0,0.0
4HBZt2,0.0010613244497503487,0.0
5AIZCDC,0.0,-0.021726438439838403
6P3HXI,0.0,-0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,-1.3877787807814457e-17
AACPS7,0.0,0.0
AB6PGH,0.0,0.0
AB6PGH2,0.0,0.0
