,fluxes,reduced_costs
12PPDt,0.0,0.0
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,0.0,-0.0
2DH3DGLCA,0.0,0.0
2MBCOATA,0.0,0.0
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2r,0.0,-0.0
34DHPHAt2r,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,0.0,0.0
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,0.0,0.0
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,0.0
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,0.0
3HAD40,0.0,0.0
3HAD4M5,0.0,0.0
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,0.0,0.0
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3HBCOAE,0.0,-0.0
3HPHACOX,0.0,-0.13747356027937796
3MOBS,-0.16453084752797217,1.3877787807814457e-17
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,-0.0
3OAR10M12,0.0,-0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,-0.0
3OAR15M16,0.0,-0.0
3OAR160,0.0,0.0
3OAR180,0.0,-0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,-0.0
3OAR6M7,0.0,-0.0
3OAR6M8,0.0,-0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,-0.0
3OAR8M9,0.0,-0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,-3.469446951953614e-18
3OAS11M12,0.0,-3.469446951953614e-18
3OAS120,0.0,1.734723475976807e-18
3OAS12M13,0.0,0.0
3OAS12M14,0.0,-0.0051552585104765805
3OAS13M14,0.0,-0.005155258510476608
3OAS140,0.0,0.0
3OAS160,0.0,-0.005155258510476685
3OAS180,0.0,-0.005155258510476608
3OAS2M3,0.0,0.0
3OAS3M4,0.0,-3.469446951953614e-18
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,-0.005155258510476608
3OAS4M6,0.0,-0.005155258510476608
3OAS5M6,0.0,-3.469446951953614e-18
3OAS60,0.0,-0.005155258510476608
3OAS6M7,0.0,-0.005155258510476608
3OAS6M8,0.0,-0.005155258510476608
3OAS7M8,0.0,-3.469446951953614e-18
3OAS80,0.0,1.3877787807814457e-17
3OAS8M10,0.0,-0.13360711639652048
3OAS8M9,0.0,-0.06358152162921213
3OAS9M10,0.0,-3.469446951953614e-18
3OXCOAT,0.0,0.0
4C2HM6SADH,0.0,-0.12458541400318573
4HBZt2,0.0,-0.0
