,fluxes,reduced_costs
1P4H2CBXLAH,0.0,0.04396671491933024
23PDE2,0.0,0.04396671491933024
23PDE4,0.0,0.04396671491933024
23PDE7,0.0,0.04396671491933024
23PDE9,0.0,0.04396671491933024
26DAPt2r,0.0,-0.0
2DHPL,0.0,0.04396671491933024
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,0.0,0.04396671491933024
2OBUTt2r,0.0,-0.0
34DHOXPEGOX,0.0,0.0
3HAD10M12,0.0,-0.04396671491933024
3HAD11M12,0.0,-0.04396671491933024
3HAD12M14,0.0,-0.04396671491933024
3HAD13M14,0.0,-0.04396671491933024
3HAD14M16,0.0,-0.04396671491933024
3HAD15M16,0.0,-0.04396671491933024
3HAD4M6,0.0,-0.04396671491933024
3HAD5M6,0.0,-0.04396671491933024
3HAD6M8,0.0,-0.04396671491933024
3HAD7M8,0.0,-0.04396671491933024
3HAD8M10,0.0,-0.04396671491933024
3HAD9M10,0.0,-0.04396671491933024
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,0.0,0.0
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,0.0,0.0
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4ABZt2,0.0,0.0
4HBZt2,0.0,-0.0
5AIZCDC,0.0,0.08793342983866048
6P3HXI,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.04396671491933024
AACOAT,0.0,-0.04396671491933024
AACPS7,0.0,0.0
AB6PGH,0.0,0.0
AB6PGH2,0.0,0.04396671491933024
ABTOXy,0.0,-0.04396671491933024
ABUTD,0.0,0.04396671491933024
ACACCTr,0.0,0.0
ACACT1r,0.0,0.0
ACALD,0.0,0.0
ACALDt,0.0,-0.0
ACBIPGT,0.0,-0.04396671491933024
ACCOACL,0.0,0.0
ACCOALYS2,0.0,0.0
ACGAMT,0.0,0.0
ACGApts,0.0,0.0
ACGK,0.0,0.0
ACGS,0.0,0.0
ACHBPL,0.0,0.0
ACKr,0.0,0.0
ACLDC,0.0,0.04396671491933024
ACLS_a,0.0,0.04396671491933024
ACLS_b,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.04396671491933024
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.0,0.04396671491933024
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.0,0.04396671491933024
ACOATA,0.0,0.04396671491933024
ACOCT,0.0,0.0
ACODAr,0.0,0.04396671491933024
ACOTA,0.0,0.0
ACPS1,0.0,-0.04396671491933024
ACTD,0.0,0.0
ACt2r,0.0,-0.0
ADD,0.0,0.04396671491933024
ADK1,0.0,0.0
ADK10,0.0,0.0
ADK11,0.0,0.0
ADK2,0.0,-0.04396671491933024
ADK3,0.0,0.0
ADK5,0.0,0.04396671491933024
ADK7,0.0,0.0
ADK8,0.0,0.0
ADK9,0.0,0.0
ADNK1,0.0,0.0
ADNUC,0.0,0.0
ADOCBIK,0.0,0.0
ADOCBIK2,0.0,0.0
ADOCBLS,0.0,0.0
ADPRDP,0.0,0.04396671491933024
ADPT,0.0,-0.04396671491933024
ADSL1r,0.0,0.0
ADSL2r,0.0,0.0
ADSS,0.0,0.0
AGDC,0.0,0.04396671491933024
