,fluxes,reduced_costs
biomass_dilution,0.018405404617022322,-0.5214651386295002
protein_biomass_to_biomass,0.009011368559826307,4.1355951073798044e-35
mRNA_biomass_to_biomass,2.3556626544975122e-05,-8.08588338077041e-35
tRNA_biomass_to_biomass,0.0001370861527871231,0.0
rRNA_biomass_to_biomass,0.001023772751895246,-8.212661405390587e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.001091699186993474,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.002045898900517391,0.0
prosthetic_group_biomass_to_biomass,3.127623555507794e-06,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_2HYMEPH,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.012009441793916047
DM_dhptd(c),0.0,0.0
EX_2ddglcn(e),0.0,0.0
EX_ac(e),2.36125196263711,0.0
EX_acald(e),0.0,-0.006004735671415541
EX_actn_R(e),0.0,-0.012008889032994383
EX_adn(e),-0.002472956177909801,0.0
EX_ala_L(e),-1.0,-0.006003685102039093
EX_alaasp(e),0.0,-0.021013818145743362
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.006002078382880595
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-2.6409464307675965e-07
EX_arg_L(e),-0.0056767688564995904,0.0
EX_asn_L(e),-0.225,-0.021014766578234638
EX_asp_L(e),-0.225,-0.021015092026318172
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.0263927386107348
EX_cellb(e),0.0,0.0
EX_cgly(e),-0.0003103601271491248,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.45715337597448114,0.0
EX_cobalt2(e),-0.00014373516681617413,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.0,0.0
EX_etoh(e),0.4503726417826061,-4.5919881565116214e-35
EX_fe2(e),-1.1050970246657743e-09,0.0
EX_fe3(e),0.0,0.0
EX_for(e),2.414428527900978,0.0
EX_fru(e),-0.001008805545527734,0.0
EX_gal(e),0.0,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),-0.007356326551394879,0.0
EX_glu_L(e),-0.015403779840088404,0.0
EX_gly(e),-0.45,-0.0060031877768880314
EX_glyasn(e),0.0,-0.02101315985907614
EX_glyasp(e),0.0,-0.0210133208205923
EX_glyb(e),0.0,0.0
EX_glyc(e),0.001008805545527734,0.0
EX_glycys(e),0.0,-4.760400326628622e-34
EX_glygln(e),6.927540330141818e-23,-9.356258779499112e-37
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,-0.00900542008532108
EX_glymet(e),0.0,-0.0030009855753003567
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),1.4208270341658222,0.0
EX_h2o(e),-3.331665099498817,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.002635912933226362,0.0
EX_ile_L(e),-0.008673361273045209,0.0
EX_indole(e),0.0,0.0
EX_k(e),-8.262021019103597e-09,0.0
EX_lac_L(e),0.0,-0.006004301787052531
EX_lcts(e),0.0,0.0
EX_leu_L(e),-0.009717527557748457,0.0
EX_lys_L(e),-0.009070206660018317,0.0
EX_malt(e),0.0,0.0
EX_malthx(e),0.0,-0.01200845819542503
EX_malttr(e),0.0,0.0
EX_man(e),-0.002017611091055468,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0030014829004514185
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.004452806731633991,0.0
EX_mg2(e),-0.00012077303945483182,0.0
EX_mn2(e),-2.2602288365815205e-08,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.011680789095062663,0.0
EX_nh4(e),3.0974916354134896,0.0
EX_nmn(e),-0.011824524261878838,0.0
EX_o2(e),0.0,-0.012009525162107163
EX_orn(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.006248539902808767,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.00014373516681617413,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
